InstNr,InstNavn,OptNr,OptNavn,I_alt,Uoplyst,STX,HF,HHX,HTX,Andet_udland,EUD,IB,Eux,Andet
1000,Københavns Universitet,10110,"Medicin, København Ø, Studiestart: sommer- og vinterstart",650,,470,37,9,53,45,,17,1,18
1000,Københavns Universitet,10115,"Folkesundhedsvidenskab, København K, Studiestart: sommerstart",75,,65,3,2,3,,,,0,2
1000,Københavns Universitet,10117,"Farmaci, København Ø, Studiestart: sommerstart",225,,168,17,,30,2,,2,0,6
1000,Københavns Universitet,10120,"Odontologi, København Ø, Studiestart: sommerstart",100,,59,16,1,16,3,,1,0,4
1000,Københavns Universitet,10140,"Veterinærmedicin, Frederiksberg C, Studiestart: sommerstart",192,,127,12,2,29,8,,6,6,2
1000,Københavns Universitet,10150,"Sundhed og informatik, København Ø, Studiestart: sommerstart",41,1,34,1,1,4,,,,0,0
1000,Københavns Universitet,10160,"Professionsbachelor, tandplejer, København N, Studiestart: sommerstart",78,,56,13,3,2,1,1,,1,1
1000,Københavns Universitet,10205,"Biokemi, København Ø, Studiestart: sommerstart",116,,83,14,,13,2,,4,0,0
1000,Københavns Universitet,10218,"Datalogi-økonomi, København Ø, Studiestart: sommerstart",88,,53,6,11,10,2,,4,1,1
1000,Københavns Universitet,10220,"Datalogi, København Ø, Studiestart: sommerstart",220,1,114,25,15,45,5,,6,1,8
1000,Københavns Universitet,10221,"Forsikringsmatematik, København Ø, Studiestart: sommerstart",74,,41,7,9,12,,,1,0,4
1000,Københavns Universitet,10230,"Fysik, København Ø, Studiestart: sommerstart",140,,85,7,4,35,6,,2,1,0
1000,Københavns Universitet,10234,"Bioteknologi, Frederiksberg C, Studiestart: sommerstart",77,,51,5,,12,7,,2,0,0
1000,Københavns Universitet,10237,"Husdyrvidenskab, Frederiksberg C, Studiestart: sommerstart",60,,35,9,,11,2,,,3,0
1000,Københavns Universitet,10238,"Miljø- og fødevareøkonomi, Frederiksberg C, Studiestart: sommerstart",35,,30,1,4,,,,,0,0
